Classifier,Class,Precision,Recall,Accuracy,Specificity,MCC,F1,ROC-AUC,Elapsed_Time
ZeroR,0,0.633093525179856,1.0,0.633093525179856,1.0,0.0,0.7753303964757708,0.5,0.00020263195037841796
ZeroR,1,0.0,0.0,0.633093525179856,1.0,0.0,0.0,0.5,0.00020263195037841796
ZeroR,weighted_avg,0.40080741162465705,0.633093525179856,0.633093525179856,1.0,0.0,0.49085665388394134,0.5,0.00020263195037841796
Random Forest,0,0.7817332294530633,0.8056818181818182,0.7345323741007194,0.8056818181818182,0.4226149808236109,0.7934877416487862,0.7933934937611407,0.10539631843566895
Random Forest,1,0.6461292346725924,0.6117647058823529,0.7345323741007194,0.8056818181818182,0.4226149808236109,0.6283715872187459,0.7933934937611407,0.10539631843566895
Random Forest,weighted_avg,0.7319792457566316,0.7345323741007194,0.7345323741007194,0.8056818181818182,0.4226149808236109,0.7329055554910016,0.7933934937611407,0.10539631843566895
Linear SVC,0,0.781609195402299,0.7727272727272726,0.7194244604316546,0.7727272727272726,0.39858285173842173,0.7771428571428572,0.7000891265597148,0.0006401777267456054
Linear SVC,1,0.6153846153846153,0.6274509803921567,0.7194244604316546,0.7727272727272726,0.39858285173842173,0.6213592233009707,0.7000891265597148,0.0006401777267456054
Linear SVC,weighted_avg,0.7206203207195517,0.7194244604316546,0.7194244604316546,0.7727272727272726,0.39858285173842173,0.7199848332152586,0.7000891265597148,0.0006401777267456054
Decision Tree,0,0.7627415062801498,0.6943181818181817,0.6697841726618706,0.6943181818181817,0.31392244332652125,0.7268811778586233,0.6608845811051692,0.001919722557067871
Decision Tree,1,0.5435279511499715,0.6274509803921567,0.6697841726618706,0.6943181818181817,0.31392244332652125,0.582419560034239,0.6608845811051692,0.001919722557067871
Decision Tree,weighted_avg,0.6823106335345449,0.6697841726618706,0.6697841726618706,0.6943181818181817,0.31392244332652125,0.6738772749158636,0.6608845811051692,0.001919722557067871
Logistic Regression,0,0.7752808988764046,0.7840909090909091,0.7194244604316546,0.7840909090909091,0.39360391530044325,0.7796610169491525,0.7589126559714794,0.0016052007675170898
Logistic Regression,1,0.62,0.6078431372549018,0.7194244604316546,0.7840909090909091,0.39360391530044325,0.6138613861386137,0.7589126559714794,0.0016052007675170898
Logistic Regression,weighted_avg,0.7183073316627597,0.7194244604316546,0.7194244604316546,0.7840909090909091,0.39360391530044325,0.7188280588819765,0.7589126559714794,0.0016052007675170898
KNN,0,0.8148148148148147,0.75,0.7338129496402878,0.75,0.4455769321836328,0.7810650887573963,0.7913324420677361,0.0005981683731079102
KNN,1,0.6206896551724138,0.7058823529411765,0.7338129496402878,0.75,0.4455769321836328,0.6605504587155963,0.7913324420677361,0.0005981683731079102
KNN,weighted_avg,0.7435890368165239,0.7338129496402878,0.7338129496402878,0.75,0.4455769321836328,0.7368474906845056,0.7913324420677361,0.0005981683731079102
Naive Bayes,0,0.825,0.75,0.7410071942446043,0.75,0.463657182321714,0.7857142857142857,0.7925579322638148,0.0006571531295776368
Naive Bayes,1,0.6271186440677966,0.7254901960784313,0.7410071942446043,0.75,0.463657182321714,0.6727272727272727,0.7925579322638148,0.0006571531295776368
Naive Bayes,weighted_avg,0.7523960492622851,0.7410071942446043,0.7410071942446043,0.75,0.463657182321714,0.7442586190787629,0.7925579322638148,0.0006571531295776368
Neural Network,0,0.7744408355829839,0.7909090909090908,0.7215827338129496,0.7909090909090908,0.3962858017951611,0.7824548791876926,0.8028743315508022,0.7852795362472534
Neural Network,1,0.625336794702387,0.6019607843137255,0.7215827338129496,0.7909090909090908,0.3962858017951611,0.6130784576258643,0.8028743315508022,0.7852795362472534
Neural Network,weighted_avg,0.7197335975620455,0.7215827338129496,0.7215827338129496,0.7909090909090908,0.3962858017951611,0.7203095734347915,0.8028743315508022,0.7852795362472534
XGBoost,0,0.7931034482758621,0.7840909090909091,0.7338129496402878,0.7840909090909091,0.42943085641082746,0.7885714285714285,0.7635918003565062,0.05679144859313965
XGBoost,1,0.6346153846153847,0.6470588235294119,0.7338129496402878,0.7840909090909091,0.42943085641082746,0.6407766990291262,0.7635918003565062,0.05679144859313965
XGBoost,weighted_avg,0.7349531515371258,0.7338129496402878,0.7338129496402878,0.7840909090909091,0.42943085641082746,0.734344585358066,0.7635918003565062,0.05679144859313965
LightGBM,0,0.7857142857142857,0.75,0.7122302158273381,0.75,0.39134544906540275,0.7674418604651162,0.7805258467023172,0.03360588550567627
LightGBM,1,0.5999999999999999,0.6470588235294119,0.7122302158273381,0.75,0.39134544906540275,0.6226415094339622,0.7805258467023172,0.03360588550567627
LightGBM,weighted_avg,0.717574511819116,0.7122302158273381,0.7122302158273381,0.75,0.39134544906540275,0.7143136741155561,0.7805258467023172,0.03360588550567627
AdaBoost,0,0.7888888888888889,0.8068181818181819,0.7410071942446043,0.8068181818181819,0.43809280463815614,0.797752808988764,0.8083778966131907,0.05556004047393799
AdaBoost,1,0.6530612244897959,0.6274509803921567,0.7410071942446043,0.8068181818181819,0.43809280463815614,0.6399999999999999,0.8083778966131907,0.05556004047393799
AdaBoost,weighted_avg,0.7390528393611638,0.7410071942446043,0.7410071942446043,0.8068181818181819,0.43809280463815614,0.7398722819497209,0.8083778966131907,0.05556004047393799
QDA,0,0.860759493670886,0.7727272727272726,0.7769784172661872,0.7727272727272726,0.542031359646688,0.8143712574850299,0.8177361853832441,0.00040662288665771484
QDA,1,0.6666666666666667,0.7843137254901961,0.7769784172661872,0.7727272727272726,0.542031359646688,0.7207207207207206,0.8177361853832441,0.00040662288665771484
QDA,weighted_avg,0.7895455787268918,0.7769784172661872,0.7769784172661872,0.7727272727272726,0.542031359646688,0.780010269175823,0.8177361853832441,0.00040662288665771484
Gradient Boosting,0,0.7981974921630093,0.7954545454545453,0.7431654676258992,0.7954545454545453,0.44784301661373993,0.7968181818181816,0.8092914438502673,0.10231661796569824
Gradient Boosting,1,0.6490950226244345,0.6529411764705884,0.7431654676258992,0.7954545454545453,0.44784301661373993,0.6509994288977727,0.8092914438502673,0.10231661796569824
Gradient Boosting,weighted_avg,0.743490830677633,0.7431654676258992,0.7431654676258992,0.7954545454545453,0.44784301661373993,0.7433163372214848,0.8092914438502673,0.10231661796569824
SVM rbf,0,0.7931034482758621,0.7840909090909091,0.7338129496402878,0.7840909090909091,0.42943085641082746,0.7885714285714285,0.7155748663101604,0.005650758743286133
SVM rbf,1,0.6346153846153847,0.6470588235294119,0.7338129496402878,0.7840909090909091,0.42943085641082746,0.6407766990291262,0.7155748663101604,0.005650758743286133
SVM rbf,weighted_avg,0.7349531515371258,0.7338129496402878,0.7338129496402878,0.7840909090909091,0.42943085641082746,0.734344585358066,0.7155748663101604,0.005650758743286133
SVM linear,0,0.7659574468085105,0.8181818181818181,0.7266187050359713,0.8181818181818181,0.39843099229144363,0.7912087912087912,0.693404634581105,0.004373240470886231
SVM linear,1,0.6444444444444446,0.568627450980392,0.7266187050359713,0.8181818181818181,0.39843099229144363,0.6041666666666667,0.693404634581105,0.004373240470886231
SVM linear,weighted_avg,0.7213735394662991,0.7266187050359713,0.7266187050359713,0.8181818181818181,0.39843099229144363,0.7225818246501701,0.693404634581105,0.004373240470886231
