id,timestamp,mean,sum,median,std,min,max,date,label
condition_1,2003-05-08,156.24722222222223,224996,27.0,229.10977669416732,0.0,1954.0,2003-05-08,1
condition_1,2003-05-09,124.13541666666667,178755,14.0,211.24127771467428,0.0,1672.0,2003-05-09,1
condition_1,2003-05-10,134.96180555555554,194345,33.0,230.95473189730907,0.0,2146.0,2003-05-10,1
condition_1,2003-05-11,99.43958333333333,143193,15.0,177.7199715455081,0.0,2080.0,2003-05-11,1
condition_1,2003-05-12,316.87430555555557,456299,40.5,496.1848471446914,0.0,3526.0,2003-05-12,1
condition_1,2003-05-13,108.47569444444444,156205,11.5,202.42810844633962,0.0,2284.0,2003-05-13,1
condition_1,2003-05-14,155.68472222222223,224186,32.0,252.47865467389687,0.0,1836.0,2003-05-14,1
condition_1,2003-05-15,170.87708333333333,246063,31.0,265.61313448133404,0.0,1725.0,2003-05-15,1
condition_1,2003-05-16,190.50833333333333,274332,61.0,277.3466481469714,0.0,2016.0,2003-05-16,1
condition_1,2003-05-17,177.76041666666666,255975,24.0,289.24009895975234,0.0,1894.0,2003-05-17,1
condition_1,2003-05-18,97.72916666666667,140730,0.0,199.83716160177386,0.0,2080.0,2003-05-18,1
condition_1,2003-05-19,168.1027777777778,242068,0.0,323.66780341786534,0.0,2586.0,2003-05-19,1
condition_1,2003-05-20,111.48819444444445,160543,3.0,201.11684999483614,0.0,1260.0,2003-05-20,1
condition_1,2003-05-21,199.59722222222223,287420,3.0,557.173462327694,0.0,3418.0,2003-05-21,1
condition_1,2003-05-22,71.1125,102402,0.0,221.69281092284305,0.0,1521.0,2003-05-22,1
condition_10,2004-09-01,426.46458333333334,614109,349.0,462.3996900733729,0.0,2347.0,2004-09-01,1
condition_10,2004-09-02,362.5673611111111,522097,149.0,461.75746506517174,0.0,2741.0,2004-09-02,1
condition_10,2004-09-03,335.22083333333336,482718,227.0,397.8997727689251,0.0,2420.0,2004-09-03,1
condition_10,2004-09-04,328.84930555555553,473543,149.0,421.44644562723676,0.0,2420.0,2004-09-04,1
condition_10,2004-09-05,312.78680555555553,450413,121.0,409.31127728904244,0.0,2576.0,2004-09-05,1
condition_10,2004-09-06,262.44444444444446,377920,103.0,364.4490559105674,0.0,2138.0,2004-09-06,1
condition_10,2004-09-07,376.7006944444444,542449,157.0,485.40637424529217,0.0,3200.0,2004-09-07,1
condition_10,2004-09-08,311.22777777777776,448168,68.0,506.61932099600693,0.0,4935.0,2004-09-08,1
condition_10,2004-09-09,294.99652777777777,424795,88.0,405.6801467940922,0.0,2420.0,2004-09-09,1
condition_10,2004-09-10,252.24652777777777,363235,143.0,336.6071604414941,0.0,2497.0,2004-09-10,1
condition_10,2004-09-11,228.71180555555554,329345,229.0,285.93548040970165,0.0,2828.0,2004-09-11,1
condition_10,2004-09-12,271.3666666666667,390768,112.0,371.30372493432424,0.0,1946.0,2004-09-12,1
condition_10,2004-09-13,321.9243055555556,463571,175.0,401.47437169176703,0.0,2657.0,2004-09-13,1
condition_10,2004-09-14,64.13958333333333,92361,0.0,216.30747769966447,0.0,2347.0,2004-09-14,1
condition_11,2004-09-29,132.40833333333333,190668,0.0,291.2111989681158,0.0,2131.0,2004-09-29,1
condition_11,2004-09-30,138.04583333333332,198786,3.0,272.8518053748533,0.0,1824.0,2004-09-30,1
condition_11,2004-10-01,184.74375,266031,28.0,314.4246656307655,0.0,2199.0,2004-10-01,1
condition_11,2004-10-02,204.06597222222223,293855,57.0,315.2588165720891,0.0,2066.0,2004-10-02,1
condition_11,2004-10-03,49.852777777777774,71788,0.0,139.93013939701146,0.0,1418.0,2004-10-03,1
condition_11,2004-10-04,71.42430555555555,102851,0.0,218.24655289876372,0.0,1882.0,2004-10-04,1
condition_11,2004-10-05,113.32708333333333,163191,0.0,264.14440654274307,0.0,2131.0,2004-10-05,1
condition_11,2004-10-06,131.3451388888889,189137,0.0,275.4410468738615,0.0,1712.0,2004-10-06,1
condition_11,2004-10-07,147.12708333333333,211863,19.0,277.4698547991698,0.0,2066.0,2004-10-07,1
condition_11,2004-10-08,270.13194444444446,388990,37.0,430.6636513948789,0.0,3002.0,2004-10-08,1
condition_11,2004-10-09,209.6861111111111,301948,57.0,314.0580322455461,0.0,2341.0,2004-10-09,1
condition_11,2004-10-10,86.29652777777778,124267,0.0,205.9692967508934,0.0,1509.0,2004-10-10,1
condition_11,2004-10-11,95.95694444444445,138178,0.0,231.91234974500594,0.0,1824.0,2004-10-11,1
condition_11,2004-10-13,80.84097222222222,116411,0.0,333.5395041398362,0.0,3506.0,2004-10-13,1
condition_12,2005-03-09,116.79444444444445,168184,12.0,233.47785861300122,0.0,1773.0,2005-03-09,1
condition_12,2005-03-10,257.56111111111113,370888,94.0,386.1878587953082,0.0,3103.0,2005-03-10,1
condition_12,2005-03-11,195.87152777777777,282055,62.0,296.75848863785393,0.0,1946.0,2005-03-11,1
condition_12,2005-03-12,168.5951388888889,242777,31.0,267.34296432483575,0.0,1886.0,2005-03-12,1
condition_12,2005-03-13,174.36180555555555,251081,39.0,299.5746909912311,0.0,3622.0,2005-03-13,1
condition_12,2005-03-14,236.84444444444443,341056,112.0,291.61577283888397,0.0,1773.0,2005-03-14,1
condition_12,2005-03-15,137.08402777777778,197401,34.0,221.6595327503329,0.0,1423.0,2005-03-15,1
condition_12,2005-03-16,129.8125,186930,19.0,241.385431619914,0.0,1614.0,2005-03-16,1
condition_12,2005-03-17,171.89027777777778,247522,46.5,259.7952589172183,0.0,1665.0,2005-03-17,1
condition_12,2005-03-18,178.2277777777778,256648,62.0,251.0397935847852,0.0,1946.0,2005-03-18,1
condition_12,2005-03-19,155.36458333333334,223725,21.0,292.5675294234352,0.0,2576.0,2005-03-19,1
condition_12,2005-03-20,134.79930555555555,194111,12.0,241.64995876421622,0.0,2347.0,2005-03-20,1
condition_12,2005-03-21,57.69583333333333,83082,0.0,176.33926090765087,0.0,1614.0,2005-03-21,1
condition_13,2005-08-12,293.55625,422721,168.5,356.12317348547236,0.0,2106.0,2005-08-12,1
condition_13,2005-08-13,257.50208333333336,370803,150.0,309.31112681485166,0.0,1919.0,2005-08-13,1
condition_13,2005-08-14,136.5715277777778,196663,15.0,229.02823176834465,0.0,1693.0,2005-08-14,1
condition_13,2005-08-15,314.24583333333334,452514,134.0,401.6695378464408,0.0,2460.0,2005-08-15,1
condition_13,2005-08-16,227.26458333333332,327261,67.0,353.0562995555207,0.0,2700.0,2005-08-16,1
condition_13,2005-08-17,257.7347222222222,371138,67.0,376.4019969165386,0.0,2784.0,2005-08-17,1
condition_13,2005-08-18,290.22222222222223,417920,155.0,356.6267009274226,0.0,2871.0,2005-08-18,1
condition_13,2005-08-19,331.83819444444447,477847,172.0,427.09684288593263,0.0,4859.0,2005-08-19,1
condition_13,2005-08-20,180.70694444444445,260218,37.5,291.3874079202449,0.0,2042.0,2005-08-20,1
condition_13,2005-08-21,237.08055555555555,341396,91.5,348.99176995136185,0.0,2460.0,2005-08-21,1
condition_13,2005-08-22,236.8,340992,72.0,339.84834168197574,0.0,2172.0,2005-08-22,1
condition_13,2005-08-23,336.5763888888889,484670,160.0,429.5389625626896,0.0,3566.0,2005-08-23,1
condition_13,2005-08-24,253.26458333333332,364701,101.0,352.94222694659544,0.0,2312.0,2005-08-24,1
condition_13,2005-08-25,291.93055555555554,420380,90.0,408.34388573488445,0.0,2538.0,2005-08-25,1
condition_13,2005-08-26,108.02638888888889,155558,0.0,267.10224400807687,0.0,2312.0,2005-08-26,1
condition_14,2005-08-19,143.5263888888889,206678,3.0,313.6613957097653,0.0,2929.0,2005-08-19,1
condition_14,2005-08-20,61.40694444444444,88426,0.0,162.74039476401325,0.0,1836.0,2005-08-20,1
condition_14,2005-08-21,55.74166666666667,80268,0.0,133.80631740239116,0.0,978.0,2005-08-21,1
condition_14,2005-08-22,69.55763888888889,100163,0.0,175.37412251071078,0.0,2284.0,2005-08-22,1
condition_14,2005-08-23,69.47361111111111,100042,0.0,155.1467753073557,0.0,1570.0,2005-08-23,1
condition_14,2005-08-24,87.11458333333333,125445,0.0,204.9602651261381,0.0,1894.0,2005-08-24,1
condition_14,2005-08-25,54.87152777777778,79015,0.0,142.04306727969163,0.0,1341.0,2005-08-25,1
condition_14,2005-08-26,102.2375,147222,0.0,220.92417041209507,0.0,1672.0,2005-08-26,1
condition_14,2005-08-27,85.91944444444445,123724,0.0,191.90839736225328,0.0,1341.0,2005-08-27,1
condition_14,2005-08-28,57.703472222222224,83093,0.0,147.93393991448778,0.0,1428.0,2005-08-28,1
condition_14,2005-08-29,50.85347222222222,73229,0.0,131.79414656668828,0.0,978.0,2005-08-29,1
condition_14,2005-08-30,76.01180555555555,109457,0.0,175.35857991328706,0.0,1428.0,2005-08-30,1
condition_14,2005-08-31,54.920833333333334,79086,0.0,140.74011894485366,0.0,1428.0,2005-08-31,1
condition_14,2005-09-01,65.53194444444445,94366,0.0,161.32286380660832,0.0,1521.0,2005-09-01,1
condition_15,2005-08-31,175.63958333333332,252921,67.0,279.2646876540253,0.0,2962.0,2005-08-31,1
condition_15,2005-09-01,131.64791666666667,189573,26.5,245.48075464089217,0.0,2784.0,2005-09-01,1
condition_15,2005-09-02,242.24305555555554,348830,109.0,393.3173403005095,0.0,6825.0,2005-09-02,1
condition_15,2005-09-03,88.24444444444444,127072,0.0,177.82498746763193,0.0,2312.0,2005-09-03,1
condition_15,2005-09-04,78.90416666666667,113622,0.0,159.03091420003705,0.0,1277.0,2005-09-04,1
condition_15,2005-09-06,52.27291666666667,75273,0.0,176.06274890587528,0.0,1802.0,2005-09-06,1
condition_15,2005-09-07,70.61180555555555,101681,0.0,171.83045929144703,0.0,1860.0,2005-09-07,1
condition_15,2005-09-09,170.36388888888888,245324,82.0,238.30738164414694,0.0,2106.0,2005-09-09,1
condition_15,2005-09-10,96.51527777777778,138982,4.0,183.38135807802627,0.0,1591.0,2005-09-10,1
condition_15,2005-09-11,142.76111111111112,205576,18.0,275.20456201450287,0.0,2784.0,2005-09-11,1
condition_15,2005-09-12,151.9375,218790,41.0,245.05142682595653,0.0,2312.0,2005-09-12,1
condition_15,2005-09-13,61.48125,88533,0.0,236.2781830243327,0.0,2312.0,2005-09-13,1
condition_16,2005-09-23,351.0576388888889,505523,70.0,490.86133555289626,0.0,2752.0,2005-09-23,1
condition_16,2005-09-24,320.67847222222224,461777,98.0,600.778740716728,0.0,6964.0,2005-09-24,1
condition_16,2005-09-25,251.46527777777777,362110,61.0,370.28937866199743,0.0,2356.0,2005-09-25,1
